Size,ArrayType,Algorithm,K,Time_us
4700,Random,HybridMergeInsertionSort,50,1268
4800,Random,StandardMergeSort,0,3015
4800,Random,HybridMergeInsertionSort,5,1692
4800,Random,HybridMergeInsertionSort,10,1447
4800,Random,HybridMergeInsertionSort,15,1448
4800,Random,HybridMergeInsertionSort,20,1311
4800,Random,HybridMergeInsertionSort,30,1309
4800,Random,HybridMergeInsertionSort,50,1323
4900,Random,StandardMergeSort,0,3074
4900,Random,HybridMergeInsertionSort,5,1723
4900,Random,HybridMergeInsertionSort,10,1468
4900,Random,HybridMergeInsertionSort,15,1482
4900,Random,HybridMergeInsertionSort,20,1340
4900,Random,HybridMergeInsertionSort,30,1339
4900,Random,HybridMergeInsertionSort,50,1339
5000,Random,StandardMergeSort,0,3138
5000,Random,HybridMergeInsertionSort,5,1749
5000,Random,HybridMergeInsertionSort,10,1502
5000,Random,HybridMergeInsertionSort,15,1502
5000,Random,HybridMergeInsertionSort,20,1379
5000,Random,HybridMergeInsertionSort,30,1375
5000,Random,HybridMergeInsertionSort,50,1365
5100,Random,StandardMergeSort,0,3203
5100,Random,HybridMergeInsertionSort,5,1780
5100,Random,HybridMergeInsertionSort,10,1528
5100,Random,HybridMergeInsertionSort,15,1525
5100,Random,HybridMergeInsertionSort,20,1396
5100,Random,HybridMergeInsertionSort,30,1395
5100,Random,HybridMergeInsertionSort,50,1398
5200,Random,StandardMergeSort,0,3288
5200,Random,HybridMergeInsertionSort,5,1860
5200,Random,HybridMergeInsertionSort,10,1611
5200,Random,HybridMergeInsertionSort,15,1556
5200,Random,HybridMergeInsertionSort,20,1474
5200,Random,HybridMergeInsertionSort,30,1427
5200,Random,HybridMergeInsertionSort,50,1435
5300,Random,StandardMergeSort,0,3346
5300,Random,HybridMergeInsertionSort,5,1923
5300,Random,HybridMergeInsertionSort,10,1685
5300,Random,HybridMergeInsertionSort,15,1591
5300,Random,HybridMergeInsertionSort,20,1548
5300,Random,HybridMergeInsertionSort,30,1458
5300,Random,HybridMergeInsertionSort,50,1461
5400,Random,StandardMergeSort,0,3446
5400,Random,HybridMergeInsertionSort,5,2034
5400,Random,HybridMergeInsertionSort,10,1774
5400,Random,HybridMergeInsertionSort,15,1616
5400,Random,HybridMergeInsertionSort,20,1617
5400,Random,HybridMergeInsertionSort,30,1575
5400,Random,HybridMergeInsertionSort,50,1694
5500,Random,StandardMergeSort,0,3488
5500,Random,HybridMergeInsertionSort,5,2066
5500,Random,HybridMergeInsertionSort,10,1843
5500,Random,HybridMergeInsertionSort,15,1642
5500,Random,HybridMergeInsertionSort,20,1637
5500,Random,HybridMergeInsertionSort,30,1513
5500,Random,HybridMergeInsertionSort,50,1536
5600,Random,StandardMergeSort,0,3536
5600,Random,HybridMergeInsertionSort,5,2131
5600,Random,HybridMergeInsertionSort,10,1915
5600,Random,HybridMergeInsertionSort,15,1670
5600,Random,HybridMergeInsertionSort,20,1976
5600,Random,HybridMergeInsertionSort,30,1545
5600,Random,HybridMergeInsertionSort,50,1578
5700,Random,StandardMergeSort,0,3607
5700,Random,HybridMergeInsertionSort,5,2209
5700,Random,HybridMergeInsertionSort,10,1956
5700,Random,HybridMergeInsertionSort,15,1700
5700,Random,HybridMergeInsertionSort,20,1707
5700,Random,HybridMergeInsertionSort,30,1580
5700,Random,HybridMergeInsertionSort,50,1593
5800,Random,StandardMergeSort,0,3755
5800,Random,HybridMergeInsertionSort,5,2326
